7.4545 20.1515 0.3700 0.2026 0.2487 0.5000
5.5000 14.9697 0.3670 0.1551 0.1943 0.4960
3.9848 13.5152 0.2950 0.1199 0.1685 0.4390
6.3485 16.9242 0.3750 0.1698 0.2045 0.4900
6.6667 19.2879 0.3460 0.1946 0.2375 0.4630
7.5303 22.1818 0.3390 0.2073 0.2705 0.4890
6.5909 19.8636 0.3320 0.1691 0.2426 0.5160
4.8030 13.8788 0.3460 0.1384 0.1751 0.4680
7.9394 20.4697 0.3880 0.2105 0.2482 0.5050
7.2424 20.1515 0.3590 0.1920 0.2399 0.4920
5.9394 16.1212 0.3680 0.1665 0.1980 0.4740
7.7879 21.8333 0.3570 0.2107 0.2685 0.5020
5.4848 16.8485 0.3260 0.1490 0.2091 0.4910
4.1970 12.8636 0.3260 0.1142 0.1566 0.4730
5.6061 15.6061 0.3590 0.1513 0.1976 0.5050
6.6061 19.1667 0.3450 0.1743 0.2238 0.4810
7.1667 21.5606 0.3320 0.2008 0.2619 0.4770
7.6818 22.4394 0.3420 0.2241 0.2784 0.4730
3.9242 11.7727 0.3330 0.1126 0.1523 0.4760
7.8333 23.3030 0.3360 0.2186 0.2883 0.4920
7.1515 19.9545 0.3580 0.1917 0.2519 0.5160
10.1515 27.0455 0.3750 0.2945 0.3458 0.5060
5.2879 14.5909 0.3620 0.1412 0.1746 0.4800
6.7273 19.6212 0.3430 0.1780 0.2378 0.4990
7.2424 20.9394 0.3460 0.1990 0.2551 0.4880
6.2273 19.7121 0.3160 0.1651 0.2278 0.4720
8.3636 21.2879 0.3930 0.2114 0.2572 0.5280
5.5303 16.2879 0.3400 0.1609 0.2086 0.4750
4.1364 12.8030 0.3230 0.1082 0.1528 0.4810
5.2121 16.2879 0.3200 0.1425 0.1963 0.4720
8.6098 23.1829 0.3710 0.2289 0.2861 0.5170
6.1481 17.1605 0.3580 0.1659 0.2152 0.5030
7.6585 21.4634 0.3570 0.2135 0.2689 0.4980
5.7195 17.0610 0.3350 0.1661 0.2104 0.4600
5.4390 15.4268 0.3530 0.1524 0.1889 0.4700
6.6707 19.2805 0.3460 0.1828 0.2291 0.4730
7.3902 19.8537 0.3720 0.1904 0.2362 0.5060
6.3537 18.5122 0.3430 0.1560 0.2174 0.5150
6.2561 17.5610 0.3560 0.1722 0.2169 0.4870
8.0244 19.9024 0.4030 0.2102 0.2386 0.5060
